case,design,arm,batch,posterior_prob
Case 3: Competing second best,Thompson sampling,alt4,9,0.0106
Case 3: Competing second best,Thompson sampling,alt5,9,0.0224
Case 3: Competing second best,Thompson sampling,alt6,9,0.0304
Case 3: Competing second best,Thompson sampling,alt7,9,0.0056
Case 3: Competing second best,Thompson sampling,alt8,9,0.0104
Case 3: Competing second best,Thompson sampling,best,10,0.8764
Case 3: Competing second best,Thompson sampling,alt1,10,0.0366
Case 3: Competing second best,Thompson sampling,alt2,10,0.007
Case 3: Competing second best,Thompson sampling,alt3,10,0.0016
Case 3: Competing second best,Thompson sampling,alt4,10,0.008
Case 3: Competing second best,Thompson sampling,alt5,10,0.0082
Case 3: Competing second best,Thompson sampling,alt6,10,0.0462
Case 3: Competing second best,Thompson sampling,alt7,10,0.0052
Case 3: Competing second best,Thompson sampling,alt8,10,0.0108
Case 3: Competing second best,Static,best,0,0.1111111111111111
